prov_id	model	method	generated_on	prompts
137	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["bound-form", "general"]
138	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["bound-form"]
139	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["classifier-is", "general"]
140	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["function-word", "general"]
141	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["function-word"]
142	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["general", "pointer"]
143	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["general"]
144	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["loanword"]
145	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns (all g10) + typed rung fix-spawns (R44 sub-batch-6 fleet, D102; prompts carry the D111 schema repair + the L77 register/domain closed lists)	2026-09-02	["pointer"]
146	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["abbreviation", "general"]
147	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["bound-form", "classifier-is"]
148	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["bound-form", "general"]
149	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["bound-form"]
150	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["classifier-is", "general"]
151	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["classifier-is"]
152	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["function-word", "general"]
153	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["function-word"]
154	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R34 sub-batch-2 fleet, D102)	2026-08-24	["general"]
155	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["abbreviation", "bound-form", "general"]
156	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["bound-form", "classifier-is", "function-word", "general"]
157	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["bound-form", "classifier-is", "general"]
158	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["bound-form", "classifier-is"]
159	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["bound-form", "general"]
160	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["bound-form"]
161	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["classifier-is", "function-word", "general"]
162	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["classifier-is", "general"]
163	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["classifier-is"]
164	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["function-word", "general"]
165	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["function-word"]
166	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["general", "pointer"]
167	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["general"]
168	claude-opus-5	single-pass grouped@10, blind gen-lean, 25 packet spawns + typed rung fix-spawns (R37 sub-batch-3 fleet, D102)	2026-08-25	["loanword"]
169	claude-opus-5	single-pass grouped@10, blind gen-lean, 26 packet spawns (25 g10 + 1 g1) + typed rung fix-spawns (R39 sub-batch-4 fleet, D102)	2026-08-25	["abbreviation", "general"]
170	claude-opus-5	single-pass grouped@10, blind gen-lean, 26 packet spawns (25 g10 + 1 g1) + typed rung fix-spawns (R39 sub-batch-4 fleet, D102)	2026-08-25	["bound-form", "general"]
171	claude-opus-5	single-pass grouped@10, blind gen-lean, 26 packet spawns (25 g10 + 1 g1) + typed rung fix-spawns (R39 sub-batch-4 fleet, D102)	2026-08-25	["bound-form"]
172	claude-opus-5	single-pass grouped@10, blind gen-lean, 26 packet spawns (25 g10 + 1 g1) + typed rung fix-spawns (R39 sub-batch-4 fleet, D102)	2026-08-25	["classifier-is", "general"]
173	claude-opus-5	single-pass grouped@10, blind gen-lean, 26 packet spawns (25 g10 + 1 g1) + typed rung fix-spawns (R39 sub-batch-4 fleet, D102)	2026-08-25	["classifier-is"]
174	claude-opus-5	single-pass grouped@10, blind gen-lean, 26 packet spawns (25 g10 + 1 g1) + typed rung fix-spawns (R39 sub-batch-4 fleet, D102)	2026-08-25	["function-word"]
175	claude-opus-5	single-pass grouped@10, blind gen-lean, 26 packet spawns (25 g10 + 1 g1) + typed rung fix-spawns (R39 sub-batch-4 fleet, D102)	2026-08-25	["general", "pointer"]
176	claude-opus-5	single-pass grouped@10, blind gen-lean, 26 packet spawns (25 g10 + 1 g1) + typed rung fix-spawns (R39 sub-batch-4 fleet, D102)	2026-08-25	["general"]
177	claude-opus-5	single-pass single-record rung-1 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["abbreviation", "bound-form", "function-word"]
178	claude-opus-5	single-pass single-record rung-1 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["abbreviation", "bound-form", "general"]
179	claude-opus-5	single-pass single-record rung-1 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["bound-form", "classifier-is", "general"]
180	claude-opus-5	single-pass single-record rung-1 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["bound-form", "function-word", "general"]
181	claude-opus-5	single-pass single-record rung-1 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["bound-form", "general"]
182	claude-opus-5	single-pass single-record rung-1 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["bound-form"]
183	claude-opus-5	single-pass single-record rung-1 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["classifier-is", "general"]
184	claude-opus-5	single-pass single-record rung-1 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["general"]
185	claude-opus-5	single-pass single-record rung-2 fix-spawns, blind gen-lean with cumulative mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["bound-form", "classifier-is", "general"]
186	claude-opus-5	single-pass single-record rung-2 fix-spawns, blind gen-lean with cumulative mechanical feedback (R34 repair ladder, L60/L68)	2026-08-24	["general"]
187	claude-opus-5	single-pass single-record rung-3 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68; A01 self-containedness)	2026-08-24	["function-word"]
188	claude-opus-5	single-pass single-record rung-3 fix-spawns, blind gen-lean with mechanical feedback (R34 repair ladder, L60/L68; A01 self-containedness)	2026-08-24	["general"]
